,,微博内容,,发布来源,,,,,,
,,"#王俊凯# 天天看别人家老师给放凯凯视频，我们音乐老师真是个极品，讲歌手讲的好好的，讲到当代流行歌手，给我来一句比如 “林俊杰，周杰伦，还有你们喜欢的掏f啊”说了两遍本来就不喜欢她，一个公鸭嗓一定要来教音乐，我今天上她课戴耳机，本来还不知道，后来别人跟我说的，那时候全班听到都看 ?
			...展开全文c",,HUAWEI nova 2 Plus,,,,,,
,,陈奕迅、刘欢、那英、周杰伦，四位导师殿堂级《沧海一声笑》，耳朵都怀孕了！#秒拍# 全球娱乐趣... ?,,微博 weibo.com,,,,,,
,,胡歌、周杰伦把助理宠成公主 果然是男神 ?,,微博 weibo.com,,,,,,
,,#北京身边事# 【周杰伦北京大学演讲：人一定要有一技之长】 周杰伦在北大百年讲堂的演讲中，全程没有鸡汤，接地气，很真实。人生只要坚持你的初衷梦想，每个人都可以不平凡。江西校园事... ?,,微话题,,,,,,
,,#周杰伦福州演唱会# 出6月23日580元门票连坐，E7区，可走闲鱼。 ?,,360安全浏览器,,,,,,
,,#陶晶莹#首谈照片外泄: 杰伦对我说本来他也要发的!网友：还要脸吗？#周杰伦# |陶晶莹首谈... ?,,微博 weibo.com,,,,,,
,,#王俊凯18岁karryon##王俊凯#王俊凯 周杰伦 作为小迷弟，王俊凯18岁成人礼开场舞情景剧《半兽人》《半岛铁盒》《夜的第七章》《一路向北》 帅炸开场！而周杰伦也贴心送上花篮，祝福小凯生日快乐！并表示音乐上有什么问题随时找他，永远支持你哦！太羡慕啦！看看别人家的追星！再看看自己的，哭晕. ?,,微博 weibo.com,,,,,,
,,"60岁蔡琴唱《告白气球》　「周杰伦出现」吓她一跳！出道40年的大中华天后蔡琴，登上北京《草莓音乐节》的大舞台，当晚她压轴包办1小时的演出，幽默又有智慧的蔡琴，60岁的她妙语如珠、还吉他自弹自唱，展现近日苦练的成果。蔡琴一连演唱了多首经典歌曲，包含《我等着你回来》、《新不了情》、《恰 ?
			...展开全文c",,360安全浏览器,,,,,,
,,2016周杰伦地表最强演唱会上海首场顺序歌单网页链接（来自@酷我音乐） ?,,iPhone客户端,,,,,,
,,S.H.E《热带雨林》作曲周杰伦，作词方文山，周杰伦给SHE的歌曲首首经典，首首值得回味！#S.H.E# 百听不厌音... ?,,微博网页,,,,,,
,,周杰伦 你怎么说弹钢琴的杰伦魅力值无与伦比心 跳 跳 跳珍贵视频! ... ?,,,,,,,,
,,人陶醉的壹 周杰伦篮球生涯的巅峰，乔丹科比魔术师詹姆斯结合体都挡不住，真的太逆天了#NBA# ?,,微博 weibo.com,,,,,,
,,#ninepercent蔡徐坤##贾乃亮##2017周杰伦厦门演唱会#表白周杰伦 ?,,iPhone 6 Plus,,,,,,
,,陈奕迅、刘欢、那英、周杰伦，四位导师殿堂级《沧海一声笑》，耳朵都怀孕了！#秒拍# 全球娱乐趣... ?,,微博 weibo.com,,,,,,
,,从此一生追随周杰伦 ?,,前置双摄vivo X9,,,,,,
,,周杰伦无与伦比演唱会，当这个女孩出来，全场沸腾！满满的青春回忆…… 大侦探夏洛... ?,,秒拍网页版,,,,,,
,,昨天老美講滴滴司機車上一直在放周杰倫的歌，我想到高三坐我前面的男生，那段時間一直在哼《夜曲》。裡面一句“為你彈奏肖邦的夜曲，紀念我死去的愛情”那會兒我們還嘲笑過他。轉眼兩年過去，再想去那段日子，還挺奇妙的。 ?,,Weibo.intl,,,,,,
,,歌迷们都知道周杰伦超有才，有才到什么地步呢，写歌都是按分钟计算，灵感源自自身才华，连陈奕迅都说他非人类@周杰伦官方资讯 昔日点播的... ?,,,,,,,,
,,哪里有彩虹告诉我 能不能把我的愿望还给我#彩虹-周杰伦# ?,,,,,,,,
,,出一张27号周杰伦演唱会的门票，内场A2区10排，位置绝佳，绝对比市场价便宜，#周杰伦常州演唱会# 感兴趣的私聊[嘿哈][嘿哈][嘿哈]#周杰伦常州站##2018周杰伦常州演唱会# ?,,iPhone客户端,,,,,,
,,#腾讯没有梦想##周杰伦 ##告白气球 #演唱会live版 星闻揭秘的... ?,,微博 HTML5 版,,,,,,
,,#创造101##周杰伦 ##告白气球 #演唱会live版 星闻揭秘的... ?,,微博 HTML5 版,,,,,,
,,由闫妮母女主演的《我是你妈》片尾曲MV，母女俩翻唱周杰伦的《听妈妈的话》，“听妈妈的话，别让她受伤…”新浪电影的... ?,,微博 weibo.com,,,,,,
,,"#2018周杰伦地表最强巡回演唱会#长沙5月11-12日金华5月19日常州5月26-27日合肥6月2-3日郑州6月9-10日上海6月15-18日
			...展开全文c",,柔光自拍vivo X7Plus,,,,,,
,,【昆凌与助手穿情侣装晒照片 周杰伦：这衣服哪里怪怪的】最近，昆凌@HannahQuinlivan 在社交媒体上PO出了一张和助手穿着“情侣装”的合照，还被#周杰伦# “吃醋”问到“我觉得这衣服不知道哪里怪怪的”，粉丝立马起哄“和你穿就不怪了”。#爱奇艺早班机# 昆凌与助手... ?,,微博 weibo.com,,,,,,
,,周杰伦4.21地表最强2珠海站歌迷点歌听妈妈的话 音乐新时尚... ?,,秒拍网页版,,,,,,
,,周杰伦经典歌曲分享《扯》音乐视频拍摄花絮，没看过的快收藏吧#周杰伦新歌不爱我就拉倒# 音乐盒子_B... ?,,,,,,,,
,,#运动教室##周杰伦 ##告白气球 #演唱会live版 星闻揭秘的... ?,,微博 HTML5 版,,,,,,
,,#甜蜜520##周杰伦 ##告白气球 #演唱会live版 星闻揭秘的... ?,,微博 HTML5 版,,,,,,
,,你是我的优乐美，白发苍苍的周杰伦来看她、性感女神极致美女车模保时捷911……直到有一天；凑近她说 ?,,iPhone客户端,,,,,,
,,#hi五月##周杰伦 ##告白气球 #演唱会live版 星闻揭秘的... ?,,微博 HTML5 版,,,,,,
,,#王俊凯18岁karryon##王俊凯#王俊凯 周杰伦 作为小迷弟，王俊凯18岁成人礼开场舞情景剧《半兽人》《半岛铁盒》《夜的第七章》《一路向北》 帅炸开场！而周杰伦也贴心送上花篮，祝福小凯生日快乐！并表示音乐上有什么问题随时找他，永远支持你哦！太羡慕啦！看看别人家的追星！再看看自己的，哭晕. ?,,微博 weibo.com,,,,,,
,,周杰伦逆袭之路，超励志的一个视频！！ 污姐的日常... ?,,,,,,,,
,,突然好怀念以前疯狂喜欢周杰伦的那段岁月???~ ?,,Android客户端,,,,,,
,,我还是记得听他第一首歌是星晴，请记得，总有这样的时候突然好怀念那些年一起追周杰伦的日子！你曾经也没把我放在心上。周杰伦总是特别的。如果有一天，在街上听到他的歌也一定会觉得很窝心。 ?,,iPhone客户端,,,,,,
,,王俊凯生日会用偶像周杰伦的歌曲开场 这逆天大长腿 .... ?,,微博 weibo.com,,,,,,
,,yezi55#运动就是坚持#09854【厉害了:物理老师用铜线、磁铁弹奏《菊花台》】江西师大的物理老师仅用铜线、磁铁演奏周杰伦歌曲《菊花台》！网友笑称，真是物理界最会弹琴的，弹琴界物理最好的！厉害了word物理老师！吐槽社的秒... ?,,微博 weibo.com,,,,,,
,,王俊凯生日会用偶像周杰伦的歌曲开场 这逆天大长腿 .... ?,,微博 weibo.com,,,,,,
,,QVT0507周杰伦《蜗牛-周杰伦》|蜗牛-周杰... ?,,微博 weibo.com,,,,,,
,,#胡一天#《安静了》是华语女子团体S.H.E演唱的一首轻摇滚曲风的抒情慢歌，Selina填词，周杰伦谱曲，收录于S.H.E2008年9月23日发行的第11张专辑《我的电台FMS.H.E》中 |济南·小鸭... ?,,小米手机3,,,,,,
,,演唱会爆笑现场：粉丝当着周杰伦喊林俊杰 萧亚轩求合唱没人理 电影视频制... ????,,皮皮时光机,,,,,,
,,#李易峰#网上流传的某活动艺人邀约费用，吴亦凡、杨幂、鹿晗、黄子韬、张艺兴都在两百万以上，吴亦凡阵容好大！PGone、李荣浩都比周杰伦蔡依林报价高！你们觉得可能吗？ ?,,微博 weibo.com,,,,,,
,,#李易峰#网上流传的某活动艺人邀约费用，吴亦凡、杨幂、鹿晗、黄子韬、张艺兴都在两百万以上，吴亦凡阵容好大！PGone、李荣浩都比周杰伦蔡依林报价高！你们觉得可能吗？ ?,,Android客户端,,,,,,
,,RTY0507[瞧瞧] “2017.10.21周杰倫地表最強廈門站第一場，半島鐵盒”谁是你的玛... ?,,微博 weibo.com,,,,,,
,,QRP2018[去旅行] 好听，好听…我正在收听周杰伦的单曲《稻香》网页链接 ?,,微博 weibo.com,,,,,,
,,"#极限挑战#昆凌自曝拍戏中途怀孕 天王嫂昆凌最近积极为电影《极智追击：龙凤劫》宣传，并和搭档英国男星奥兰多布鲁姆上某综艺，节目现场遭爆料她拍戏时周杰伦来探班，两人在片场总是粘在一起，因抵挡不住大家好奇，昆凌松口承认“我的确是拍戏中途怀孕的”且片中很多动作戏，还曾摔倒过，直到拍完 ?
			...展开全文c",,微博 weibo.com,,,,,,
,,#国家德比##我不喜欢这世界，我只喜欢你#甲：周杰伦给我来电话了！！！！！ ?,,iPhone 6s,,,,,,
,,QVT0507周杰伦《可爱女人-周杰伦-专辑《Initial J》》|可爱女人-... ?,,微博 weibo.com,,,,,,
,,周杰伦《给我一首歌的时间》网页链接 @QQ音乐 网页链接 ?,,Android,,,,,,
,,明哥出柜 各位就开始挖老爷的歌词 于是又有人【为装文艺强说愁】 我想说 你懂个屁呀 凑啥热闹 滚一边去听你的周杰伦罗志祥去 ?,,小米Note 3 拍人更美,,,,,,
,,QRP2018“周杰伦地表最强杭州演唱会，小仙女小姐姐点歌环节可以说是很6了！镜头拉近一点，让他老婆看看我！多！美！”踏云听雨的... ?,,微博 weibo.com,,,,,,
,,"【小伙怕迟到每天跑20公里上下班 曾因占领朋友步数封面被删好友】微信好友里有岳云鹏，陈赫，周杰伦，还有李诞的女朋友！你说厉不厉害！河南郑州90后小伙马帅曾因上班迟到被罚款，后来为了不再迟到，他每天跑步20公里上下班，一坚持就是7年，再未因为迟到被罚款，因为长期占据朋友的步数封面 ?
			...展开全文c",,iPhone客户端,,,,,,
,,那一年是2000年周杰伦出道！也是那一年我们的青春刚刚开始 视视娱扒的... ?,,秒拍网页版,,,,,,
,,香港歌迷在周杰伦演唱会上自弹自唱挑战他，没点才艺都不敢去听演唱会了??#搞笑视频# 买家秀的日... ?,,秒拍网页版,,,,,,
,,不是我吹用微博这么久，第一次有微友点赞话说，杰伦怎么还不发新歌！#周杰伦不爱我就拉倒# ?,,Samsung Galaxy S8,,,,,,
,,纯爱电影《第一次》在第二届北京国际电影节，导演韩廷携手主演Angelababy、袁咏琳亮相。公布的第一首主题曲《都要微笑好吗？》由乐坛天王周杰伦作曲、方文山作词，由饰演女主角宋诗乔的Angelababy演唱。 ?,,小米Note 3 拍人更美,,,,,,
,,每天送一位 送到新歌出来为止 #周杰伦不爱我就拉倒# ?,,iPhone 7,,,,,,
,,青春纯爱影片《第一次》于昨日在北京电影节上举行情歌告白会，导演韩延携女主角Angelababy、袁咏琳一同出席，同时宣布电影将有双主题曲：由Angelababy演唱、周杰伦和方文山这对乐坛黄金搭档倾力打造的《都要微笑好吗？》和周杰伦小师妹袁咏琳为赵又廷创作的另一首。t.cn/zOlTOx2 大连大脸猫 ?,,Android客户端,,,,,,
,,前世青年照 个人信息，周杰伦：这是我被黑最惨的一次 ?,,iPhone客户端,,,,,,
,,@天明和月儿终于又在一起了 @秦时明月官方微博 ?我正在收听周杰伦的歌曲《告白气球》 网页链接 （来自@QQ音乐） ?,,分享按钮,,,,,,
,,大概是从凌晨一点开始 一起听歌 什么也不干 慢慢的一起唱歌 后来变成给你听前奏你才周杰伦的歌名 不愧是狂热粉 一秒都没有 就猜出来了 然后一起唱歌唱到三点过将近四点 时隔很久听了很多周杰伦的老歌 仍然是一听就会心情很好的那种 突然开始幻想会不会有一天我会陪你去看周杰伦演唱会 ?,,HUAWEI nova 2s,,,,,,
,,#周杰伦新歌不爱我就拉倒#又一个凌晨 歌依然没发 算了睡觉 头发不多了 ?,,vivo X20全面屏手机,,,,,,
,,昆凌姐姐也喜欢周杰伦，而最终杰伦却娶了昆凌，或许这就是爱情！ 最火微视频... ?,,微博 weibo.com,,,,,,
,,昆凌看似温柔，其实脾气超级不好，周杰伦就只能宠着！ -落落菌MM... ?,,iPhone客户端,,,,,,
,,#周杰伦##算什么男人# 哎哟哥哥 ?,,,,,,,,
,,@罗志祥 打电话给周杰伦称呼baby，周杰伦后来的回复亮了！哈哈哈哈哈哈哈哈秒拍视频 ?,,,,,,,,
,,#周杰伦# 的演唱会上歌迷激情点播《一口气全念对》：我唱不好请你吃饭！ 歌神集的秒... ?,,微博网页,,,,,,
,,周杰伦《开不了口》喜欢就说出来，大不了朋友也做不成。反正我不缺朋友，我只缺你#周杰伦# 百听不厌音... ?,,微博网页,,,,,,
,,莫文蔚的阴天孙燕姿的雨天周杰伦的晴天都不如和我聊天 ?,,??的iPhone X,,,,,,
,,长沙站舞台搭建中……距离地表最强长沙站还剩5天！#周杰伦长沙演唱会# ?,,,,,,,,
,,苏打绿《小宇宙》青峰说这首歌是做梦做出来的，他梦见了周杰伦，周杰伦说他有一段编曲没有旋律，让青峰帮忙写，于是青峰在梦里写了主歌副歌，结果醒来之后居然还记得那段旋律，经过加工就变成我们听到的《小宇宙》。#苏打绿# 百听不厌音... ?,,微博网页,,,,,,
,,我是第1个申请创建周杰伦歌迷会超话的粉丝，还差7人就满足申请条件啦！大家快来戳这里→ 网页链接 帮我加快创建速度吧~ ?,,微话题,,,,,,
,,周杰伦成都演唱会场地被“嫌弃” 中国现代五项赛事中心“喊冤枉” |周杰伦成都... ?,,微博 weibo.com,,,,,,
,,周杰伦演唱会后遗症！看完演唱会后粉丝们居然在公车里做了这样的事情！#周杰伦2018地表最强演唱会# ps视频来自网络，感谢up主的分享 OurJay周杰... ?,,,,,,,,
,,#夜深推歌#我给你的爱写在西元前，深埋在米索不达米亚平原。周杰伦〈爱在西元前〉屌絲打分蜻... ?,,iPhone X,,,,,,
,,周董问蔡依林难不难过，蔡依林说有一点，周董：有空来我这里！ 周杰伦要的是公主，而蔡依林偏偏是女王???倒带吧 青春 ??#搞笑视频# 是江直树的... ?,,秒拍网页版,,,,,,
,,小朋友，你花那么多钱来看周杰伦演唱会到底是为了什么啊？你知道我多需要票么？ 幽默搞笑视... ?,,秒拍网页版,,,,,,
,,#唐嫣#出道15年的周董为15岁的TFBOYS创作的《剩下的盛夏》MV今日上线啦，此次MV由周杰伦的御用导演 ?,,微博 HTML5 版,,,,,,
,,周杰伦为别人创作的60首歌曲，每一首都那么好听，好多我竟然都不知道出自杰伦之手啊，马住了。  搞笑天才榜... ?,,微博 weibo.com,,,,,,
,,"今晚等不了十一点了，如果有搞事请大家艾特我，求！！！下面说一些自己的话，韩圈只有弹，韩圈之前只粉周杰伦和欧美博爱，博爱啥意思呢，就是只粉歌不粉人，全专喜欢就会去看演唱会和买专，歌不好听立刻路人，一线的基本都看过演唱会，最让我回味的就是queen B的伦敦和泰勒的【1989】这两场： ?
			...展开全文c",,微博 weibo.com,,,,,,
,,周杰伦篮球生涯的巅峰，乔丹科比魔术师詹姆斯结合体都挡不住，真的太逆天了…#NBA# ?,,微博 weibo.com,,,,,,
,,由闫妮母女主演的《我是你妈》片尾曲MV，母女俩翻唱周杰伦的《听妈妈的话》，“听妈妈的话，别让她受伤…”新浪电影的... ??,,iPhone客户端,,,,,,
,,文化部通知：所有第三方溢价票平台所销售的周杰伦演唱会高价门票将全部被下架。#周杰伦长沙演唱会# ?,,,,,,,,
,,我关注了周杰伦超话，小伙伴们快来加入周杰伦超话一起聊聊吧~戳这里→ |周杰伦 ?,,微话题,,,,,,
,,周杰伦《你听得到》现场版，周杰伦里面最爱的歌，愿我爱的你们能听到！没有人比我知道，你的温柔像羽毛#周杰伦# 百听不厌音... ?,,微博网页,,,,,,
,,"年轻时代周杰伦的《青花瓷》""大音希声""...英译:""昌南""（景德镇古称）。 |襄阳·万达 ?",,OPPO智能手机,,,,,,
,,#2018周杰伦长沙演唱会#有同学出512的看台票吗？？？求两张???♀? |长沙·湖南... ?,,iPhone客户端,,,,,,
,,#2018年周杰伦演唱会# 昆凌的姐姐偶像是周杰伦 然后偶像变妹夫…… 周杰伦音乐... ?,,荣耀8青春版 颜值担当,,,,,,
,,#周杰伦晴天#久违的，器乐团排练现场?? 木酱大人的... ?,,iPhone客户端,,,,,,
,,庾澄庆开的车，汪峰开的车，周杰伦开的车，简直是天壤之别！(同步自@新浪看点)|庾澄庆开的... ?,,手机新浪网,,,,,,
,,发布了头条文章：《周杰伦演唱会上直言：不知道蔡依林是谁》 |周杰伦演唱... ?,,微博 weibo.com,,,,,,
,,#2018周杰伦长沙演唱会# 求两张512看台的门票 有没有同学想出的 ?,,iPhone客户端,,,,,,
,,张家辉终于忍不住了：你们不要再叫我渣渣辉了让周杰伦告诉你#搞笑视频# 笑部长的秒... ?,,秒拍网页版,,,,,,
,,#园游会 周杰伦#    夏天来了   @Fi_sh是黄欣宇诶 ?,,iPhone 7 Plus,,,,,,
,,QRP2018美女在周杰伦演唱会怒说前男友杰伦一脸惊讶虫子爆料的...[抱抱_旧] ?,,微博 weibo.com,,,,,,
,,#二哔一周榜#来了！有你的爱豆吗？本周上榜明星：卜凡、李易峰、周杰伦、王源、陈伟霆。作为人气偶像，你们这么作真的好吗？我的偶像是... ?,,微博 weibo.com,,,,,,
,,#周杰伦长沙演唱会#  求票 380 580之间 谢谢 ?,,前置双摄vivo X9,,,,,,
,,这堪称大片的广告，集齐当时当红明星，周杰伦、F4、郭富城、陈冠希拍摄，青春的面孔，这阵容太豪华了 昔日点播的... ?,,,,,,,,
,,【1080P】周杰伦 - 告白气球原版MV#哔哩哔哩动画# 网页链接 ?,,哔哩哔哩,,,,,,
,,汪峰的车，周杰伦的车，薛之谦的车，简直是天壤之别！(同步自@新浪看点)|汪峰的车，... ?,,手机新浪网,,,,,,
,,老妈最近天天在弟弟耳边唠叨说：你都要小学毕业了，马上就要小升初考试了，能不能上点心，少玩点游戏！！！我一天都要听个几十遍，为了给弟弟鼓励，我也天天在他耳边说：周杰伦说了功成名就不是目的，让自己快乐才是意义，所以你高兴就好 ?,,柔光自拍vivo X7,,,,,,
,,我免费围观了 @苏群 的回答，问题价值 18.88 元，快来一起免费围观~ 微博问答 ?,,,,,,,,
,,#谜之微笑# 香港歌迷挑战周杰伦的《黑色幽默》，没点能耐还不好意思当粉丝了 瞬间笑趴了... ?,,秒拍网页版,,,,,,
,,那年的我啊，真的太美好，散着光芒。难怪你也会喜欢。周杰伦《园游会》 网页链接 @QQ音乐 ?,,iPhone客户端,,,,,,
,,周杰伦在刘德华面前变魔术......连自己都嫌烂#抽疯视频# #周杰伦# 最抽疯的视... ?,,微博 weibo.com,,,,,,
,,蔡依林/周杰伦《布拉格广场》 网页链接 @QQ音乐 ?,,iPhone客户端,,,,,,
,,#王俊凯王牌特工大使##王俊凯18岁karryon# 18岁成年礼生日会..小凯开场秀炫舞技，作为周杰伦的小迷弟，王俊凯选用周杰伦的《半兽人》《半岛铁盒》《夜的第七章》《一路向北》开场：动作帅气、节奏满点，气场炸裂.. ?,,微博 weibo.com,,,,,,
,,发布了头条文章：《近日，有网友在台北某餐厅偶遇周杰伦、昆凌 杰伦，新歌呐？》 |近日，有网... ?,,微博 weibo.com,,,,,,
,,#今日漫画# 甜哭！周杰伦花式宠爱昆凌，嫁给一个眼里只有你的人有多重要 ?,,微博 weibo.com,,,,,,
,,"爆笑解说：真正的抗日神剧，一个人干翻鬼子一个团，就问你怕不怕!————————————————————————————————————————————————————————————
			...展开全文c",,秒拍网页版,,,,,,
,,"姑娘找个男朋友吧，看你眼圈都黑成啥样了？————————————————————————————————————————————————————————————
			...展开全文c",,360安全浏览器,,,,,,
,,周杰伦如果咬字清晰的去唱一首歌是什么样的呢？一样好听！ 好运逗比的... ?,,秒拍网页版,,,,,,
,,《奔跑吧》昆凌爆料周杰伦喜欢变魔术，郑恺展现高超的拍照技术 ? 港台娱乐情... ?,,iPhone 6,,,,,,
,,"#周杰伦##梦想启动-周杰伦#《梦想启动》是周杰伦专辑《十二新作》中的歌曲，2012年12月27日在hit fm 首播，歌曲由周杰伦作曲，杰威尔音乐有限公司发行。钢琴前奏是与钢琴家郎朗合作弹奏拉赫曼尼诺夫第二钢琴协奏曲第一乐章。前奏钢琴：郎朗（弹奏拉赫曼尼诺夫第二钢琴协奏曲第一乐章）Come ?
			...展开全文c",,音乐皇帝Android,,,,,,
,,张家辉的普通话有多普通？周杰伦确认过眼神之后：你说广东话就可以了！渣渣辉松了口气：那十秒我仿佛度过了一个世纪YouTube上... ?,,微博 weibo.com,,,,,,
,,#周杰伦新歌不爱我就拉倒# 全家福 你最喜欢哪一首呢？ ?,,,,,,,,
,,[江南style] #周杰伦地表最强佛山演唱会#第一场点歌环节，女歌迷哭着说失恋了，杰伦说那就唱算什么男人好了。女歌迷说：“我想点超人不会飞，他很好的，我不要点算什么男人。我想跟他说，他以后身边是我还是别人，不管他会不会飞，他都是超人。”@我们爱听演唱会@周杰伦中文网JayCn@周杰伦资讯台.. ?,,微博 weibo.com,,,,,,
,,昨天竟然做梦梦到了周杰伦，还让他给我签名，他还签上瘾了，帮我把一本本子都签完了。#小猪嘟嘟# ?,,魅蓝 E2,,,,,,
,,#快乐大本营##何炅# 谢娜大本营首次秀魔术，周杰伦技痒再度PK！ 笑回十年li... ?,,OPPO R9s,,,,,,
,,崔始源台灣見面會開場唱周杰倫的說好的幸福  Teuksj_tin... ?,,iPhone客户端,,,,,,
,,#周杰伦##不愛我就拉倒# 有些人呐，单身二十多年了，连个对象都没等到…都不着急…周杰伦的新歌才等几个星期就着急啦？ ?,,OurJay官博iPhone客户端,,,,,,
,,朋友圈朋友苏梅岛偶遇周杰伦和昆凌羡慕中早知道我这次安排几天去苏梅岛好了，后悔啊啊啊啊啊 ?,,iPhone 7 Plus,,,,,,
,,我正在听周杰伦的歌曲《浪漫手机》（来自@酷狗音乐），你也来听听吧！网页链接 下雨天！耳机和公交车更配！ ?,,手机酷狗安卓版,,,,,,
,,"#用心分享##周杰伦，我想对你说# 周杰伦，你陪我长大，我陪你到老。杰伦的哪一首歌是你的青春？周杰伦音乐... cr.logo ??? ???@西南科大校团委实践部 @西南科大法学院团委社团部 @西南科技大学法学院科技部 @西南科大法学院团委办公室 @西南科大经管团委实践部 @法学院予曦志愿者团队 ?
			...展开全文c",,三星 GALAXY Note8,,,,,,
,,哎呀呀呀呀，我们居然跟天王周杰伦和天王嫂一趟航班来苏梅哦，杰伦还帮我扶了一下行李车，虽然带来口罩但是还是认出来了，只是要拍照求合影被经纪人制止，真是幸运幸福的一天 |泰国·苏梅... ?,,HUAWEI P10,,,,,,
,,母亲到成都支持周杰伦演唱会，周杰伦调侃与母亲撞衫(同步自@新浪看点)|母亲到成都... ?,,手机新浪网,,,,,,
,,发布了头条文章：《《这就是灌篮》嘉宾强大，周杰伦和李易峰要参加节目你期待么？》 |《这就是灌... ?,,微博 weibo.com,,,,,,
,,耗资上亿的3D全熄技术！邓丽君，周杰伦 同台演唱#永远的邓丽君# ?,,大屏幕,,,,,,
,,#不爱我就拉倒# 周杰伦，我爱篮球，运动让我更有热情和活力。#这就是灌篮# 将在@优酷 视频独播，敬请期待。 ?,,小米5X 拍人更美,,,,,,
,,#鹿晗#、王宝强、#周杰伦#肌肉大比拼 鹿晗简直天壤之别，真是男人身份女 |鹿晗、王宝... ?,,微博 weibo.com,,,,,,
,,昆凌姐姐也喜欢周杰伦，而最终杰伦却娶了昆凌，或许这就是爱情！ 爱拍视频的... ?,,秒拍网页版,,,,,,
,,#咪咕分享# #周杰伦，我想对你说# 周杰伦，你陪我长大，我陪你到老。杰伦的哪一首歌是你的青春？周杰伦音乐... cr.logo ?,,微博 weibo.com,,,,,,
,,张韶涵谈《亲爱的那不是爱情》周杰伦只用了10分钟！ 绿橙音悦台... ?,,秒拍网页版,,,,,,
,,昆凌穿粉衣晒小小周弹跳床，一个小细节让周杰伦醋意满满 |昆凌穿粉衣... ?,,微博 weibo.com,,,,,,
,,|不能说的秘...，#周杰伦# 小公举的电影，尤其是主题曲，特别牛 ?,,vivo智能手机,,,,,,
,,周杰伦演唱会上，兄Die这就是你人生的巅峰 ！！！我话不多就唱歌。。#搞笑视频# 司机发车了... ?,,秒拍网页版,,,,,,
,,《奔跑吧》昆凌爆料周杰伦喜欢变魔术，郑恺展现高超的拍照技术 ? 港台娱乐情... ?,,iPhone 6,,,,,,
,,#周杰伦上海演唱会##周杰伦地表最强上海站##周杰伦# 出周杰伦上海演唱会 6.16的980两张 价格私聊 ?,,Weibo.intl,,,,,,
,,小萝莉一哭成名，妈妈谎称“你爸爸是周杰伦”，把郭德纲乐翻了 飞笑的秒拍... ?,,秒拍网页版,,,,,,
,,面对演唱会保安打人，26年前的黄家驹给周杰伦狠狠上了一课！ 网页链接（分享自 @百度贴吧） ?,,百度贴吧,,,,,,
,,#创造101# 第一次公演，@创造101-香蕉娱乐强东玥 @创造101-芒果吕小雨 @创造101-拉近网娱张馨月 @创造101丑丑谈楚然 @创造101-三美娱乐国际焦曼婷 @创造101罗天舒 @创造101-蜜蜂少女队韩丹 演唱周杰伦《爷爷泡的茶》舞台，中国风【纯享版】... ?,,微博 weibo.com,,,,,,
,,哈哈哈哈哈哈哈哈哈哈周杰伦这次演唱会又出段子般的事了，哈哈哈哈哈这个小仙女太可爱了吧 #搞笑视频# 搞笑视频笔... ?,,秒拍网页版,,,,,,
,,发布了头条文章：《昆凌被拍和神秘男子穿“情侣装”，周杰伦留言醋坛子打翻》 |昆凌被拍和... ?,,微博 weibo.com,,,,,,
,,一首《告白气球》唱的好听极了，这应该是最好听的音乐了！@周杰伦 八小妞综艺... ?,,微博 weibo.com,,,,,,
,,小s: #周杰伦# 快点 帮我 擦干净.. 杰伦: 没 带纸啊。。。 原味爱豆的... ?,,微博网页,,,,,,
,,#园游会-周杰伦#  童话般的一天 ?,,Weibo.intl,,,,,,
,,"最近一些生活??手机上课在兜里震了一下被igor没收了 上课的风险真的比逃课多太多了 难受??在华联看到有卖柯基的 真的好可爱好想养啊 小短腿太他妈可爱了 以后一定要养一只!??最近真的很精致了 贼他妈爱泡澡 太舒服了 边泡边玩手机 在危险的边缘大鹏展翅
			...展开全文c",,iPhone X,,,,,,
,,周杰伦《等你下课》日文版，依旧是动人的旋律，深入人心。 奶罩都笑湿... ?,,微博 weibo.com,,,,,,
,,周杰伦说爱情就像龙卷风我认为这个比喻是很贴切的因为大多数人都和我一样一辈子也见不到一次龙卷风 ????,,微博 weibo.com,,,,,,
,,周笔畅超女总决赛演唱周杰伦的《黑色幽默》，一转眼已是12年了。再听的时候还是很怀念。 现场微音乐... ?,,,,,,,,
,,酷似周杰伦的健身教练Jordan Yeoh 最新视频，基本高强度家庭健身-适合所有初学者转 懒人健身宝... ?,,微博 weibo.com,,,,,,
,,十岁的 Justin 使用 Maschine 表演電子音樂版周杰倫雙節棍 音越动的秒... ?,,秒拍网页版,,,,,,
,,周杰伦福州，先票已到，低价加价，要的私聊#周杰伦福州站##周杰伦福州演唱会##周杰伦演唱会门票转让##周杰伦福州演唱会门票# |南昌·江西... ?,,iPhone客户端,,,,,,
,,爵士鼓小帅哥街头演奏周杰伦《告白气球》，传说中的“小鲜肉”！ 正在更新的... ?,,秒拍网页版,,,,,,
,,周杰伦《七里香》还记得那个被周杰伦感动的夏天嘛听到前奏响起，那一年的记忆都带着淡淡的香气悠悠飘来~MV超美，静静欣赏吧#昆凌情侣装 周杰伦醋意# #周杰伦# 音乐重度患... ?,,360安全浏览器,,,,,,
,,重温周杰伦《开不了口》和蔡依林同台演唱的《给我一首歌的时间》 音乐馆的秒... ?,,微博 weibo.com,,,,,,
